epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8106,1.45672,2.25572,1.62989,0.51653,0.2808,0.26437,0.10313,1.97998,2.5623,2.07375,0.000368951,0.000368951,0.000368951
2,132.835,1.55879,1.93589,1.70534,0.37343,0.3036,0.17894,0.08032,1.97797,2.52563,2.06337,0.000731966,0.000731966,0.000731966
3,197.146,1.5582,1.90111,1.69641,0.19977,0.39789,0.20477,0.08479,1.98973,2.58053,2.07642,0.00108765,0.00108765,0.00108765
4,261.058,1.50276,1.8202,1.66378,0.44174,0.24408,0.21117,0.09524,1.91003,2.20186,2.01968,0.001078,0.001078,0.001078
5,325.055,1.42218,1.69078,1.59307,0.58036,0.40762,0.3806,0.17379,1.77499,1.90072,1.85975,0.001067,0.001067,0.001067
6,388.971,1.3783,1.61435,1.57001,0.48627,0.48253,0.45078,0.23135,1.70843,1.64781,1.80351,0.00105601,0.00105601,0.00105601
7,452.842,1.3757,1.58503,1.5603,0.62905,0.43296,0.42577,0.21077,1.68636,1.75047,1.83984,0.00104501,0.00104501,0.00104501
8,516.59,1.33171,1.56214,1.5345,0.56526,0.48928,0.45063,0.24342,1.63473,1.52913,1.73292,0.00103401,0.00103401,0.00103401
9,580.572,1.31248,1.49981,1.5102,0.67637,0.48282,0.47904,0.22723,1.6401,1.56855,1.7385,0.00102301,0.00102301,0.00102301
10,643.977,1.29576,1.44693,1.49296,0.48839,0.43488,0.44799,0.23967,1.54011,1.46434,1.66103,0.00101201,0.00101201,0.00101201
11,707.868,1.27284,1.41456,1.48152,0.56617,0.47944,0.48167,0.26633,1.63169,1.45278,1.72918,0.00100101,0.00100101,0.00100101
12,771.941,1.23775,1.37228,1.45953,0.50671,0.4958,0.48629,0.26803,1.54719,1.37612,1.6483,0.000990012,0.000990012,0.000990012
13,836.594,1.22672,1.34609,1.44619,0.59394,0.5204,0.54237,0.26712,1.55339,1.30622,1.66733,0.000979013,0.000979013,0.000979013
14,900.447,1.19847,1.30408,1.42581,0.52806,0.43883,0.46842,0.25864,1.53744,1.44397,1.63426,0.000968014,0.000968014,0.000968014
15,964.586,1.21684,1.32155,1.43784,0.57243,0.55298,0.54323,0.28657,1.50111,1.36613,1.64522,0.000957015,0.000957015,0.000957015
16,1031.88,1.20471,1.29416,1.42479,0.57882,0.50077,0.50411,0.25574,1.53902,1.36082,1.63431,0.000946016,0.000946016,0.000946016
17,1096.42,1.18905,1.26883,1.41204,0.76435,0.49154,0.54931,0.29933,1.50371,1.32731,1.62463,0.000935018,0.000935018,0.000935018
18,1160.33,1.17353,1.24371,1.40403,0.66123,0.52483,0.56175,0.28634,1.51816,1.29121,1.62632,0.000924019,0.000924019,0.000924019
19,1224.53,1.15926,1.2226,1.39132,0.62095,0.50325,0.5566,0.29032,1.4576,1.29243,1.60193,0.00091302,0.00091302,0.00091302
20,1288.36,1.14903,1.21431,1.38905,0.64028,0.52037,0.55944,0.29084,1.51635,1.32883,1.62888,0.000902021,0.000902021,0.000902021
