epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1760.42,0.98798,0.92161,1.27254,0.70256,0.64234,0.69647,0.37958,1.48711,1.05165,1.56346,0.0005941,0.0005941,0.0005941
43,1787.76,0.97699,0.91369,1.26912,0.62766,0.67428,0.70296,0.38434,1.46879,1.06188,1.55206,0.0005842,0.0005842,0.0005842
44,1815.05,0.97364,0.90624,1.27366,0.71942,0.64624,0.69168,0.36188,1.49773,1.11478,1.56523,0.0005743,0.0005743,0.0005743
45,1842.33,0.96718,0.88966,1.26435,0.74607,0.5932,0.67653,0.36098,1.49635,1.09216,1.57206,0.0005644,0.0005644,0.0005644
46,1869.5,0.96545,0.88473,1.26037,0.7311,0.64,0.7071,0.38854,1.46206,1.03735,1.5465,0.0005545,0.0005545,0.0005545
47,1896.81,0.94888,0.88287,1.25466,0.72074,0.64632,0.68208,0.36946,1.47994,1.08141,1.56079,0.0005446,0.0005446,0.0005446
48,1924.07,0.95677,0.87382,1.2492,0.6485,0.63326,0.67035,0.37302,1.46423,1.07468,1.54118,0.0005347,0.0005347,0.0005347
49,1951.4,0.94636,0.86355,1.24922,0.74647,0.63561,0.70059,0.39257,1.47409,1.01224,1.55557,0.0005248,0.0005248,0.0005248
50,1978.95,0.94176,0.84884,1.24314,0.71453,0.65627,0.69579,0.38328,1.46713,1.04133,1.53861,0.0005149,0.0005149,0.0005149
51,2006.39,0.93399,0.84093,1.23974,0.73728,0.65451,0.70891,0.38942,1.45977,1.01522,1.54391,0.000505,0.000505,0.000505
52,2033.83,0.93024,0.83327,1.23128,0.69887,0.65086,0.68469,0.38308,1.47688,1.03298,1.55238,0.0004951,0.0004951,0.0004951
53,2061.17,0.90867,0.81829,1.22159,0.78961,0.61928,0.71338,0.39585,1.44674,0.97831,1.5256,0.0004852,0.0004852,0.0004852
54,2088.94,0.92311,0.81978,1.22369,0.71596,0.6407,0.71029,0.37971,1.44595,0.9911,1.5277,0.0004753,0.0004753,0.0004753
55,2116.23,0.91721,0.81238,1.22201,0.77918,0.63455,0.71912,0.39341,1.45562,0.97756,1.53814,0.0004654,0.0004654,0.0004654
56,2143.59,0.90293,0.80742,1.22065,0.77485,0.61536,0.70668,0.39852,1.44505,0.98152,1.52021,0.0004555,0.0004555,0.0004555
57,2170.94,0.89416,0.78741,1.20949,0.70343,0.66203,0.71034,0.39772,1.44186,0.96036,1.52811,0.0004456,0.0004456,0.0004456
58,2198.08,0.90052,0.79796,1.21542,0.74153,0.64516,0.7062,0.39475,1.44188,0.94678,1.52922,0.0004357,0.0004357,0.0004357
59,2225.34,0.89242,0.78516,1.20955,0.71095,0.6577,0.70816,0.37623,1.44401,0.96114,1.526,0.0004258,0.0004258,0.0004258
60,2252.53,0.88168,0.77433,1.20915,0.74396,0.62539,0.70333,0.3768,1.43518,0.99563,1.52142,0.0004159,0.0004159,0.0004159
61,2279.69,0.87776,0.7685,1.20664,0.76477,0.65595,0.71978,0.39098,1.43316,0.94597,1.5226,0.000406,0.000406,0.000406
62,2306.75,0.86913,0.75411,1.19409,0.74138,0.63626,0.6928,0.39492,1.43687,0.9855,1.52592,0.0003961,0.0003961,0.0003961
63,2333.78,0.87699,0.75615,1.19734,0.69156,0.66648,0.70521,0.39651,1.42834,0.94332,1.51504,0.0003862,0.0003862,0.0003862
64,2360.92,0.8771,0.75588,1.19054,0.80238,0.59394,0.69926,0.3968,1.43113,0.95306,1.52133,0.0003763,0.0003763,0.0003763
65,2388.39,0.86458,0.74303,1.18391,0.80448,0.62512,0.73433,0.41324,1.42401,0.92266,1.51399,0.0003664,0.0003664,0.0003664
66,2415.83,0.85482,0.72865,1.18784,0.70451,0.66112,0.72023,0.39775,1.42261,0.94243,1.50711,0.0003565,0.0003565,0.0003565
67,2443.19,0.85437,0.72668,1.18099,0.73458,0.64508,0.68755,0.38139,1.442,0.92966,1.53004,0.0003466,0.0003466,0.0003466
68,2470.71,0.84764,0.71684,1.17338,0.74269,0.65372,0.72025,0.40462,1.42157,0.91422,1.50789,0.0003367,0.0003367,0.0003367
69,2498.14,0.85653,0.72863,1.17822,0.72391,0.65454,0.71663,0.41009,1.40874,0.93054,1.49826,0.0003268,0.0003268,0.0003268
70,2525.58,0.84219,0.71573,1.1694,0.7721,0.67741,0.72787,0.41922,1.40438,0.90993,1.49911,0.0003169,0.0003169,0.0003169
71,2552.95,0.83326,0.69648,1.16669,0.76669,0.62633,0.72235,0.40936,1.41847,0.91427,1.51151,0.000307,0.000307,0.000307
72,2580.43,0.81677,0.69153,1.15552,0.75647,0.61392,0.70867,0.40586,1.40868,0.92256,1.50683,0.0002971,0.0002971,0.0002971
73,2607.99,0.81982,0.69764,1.16381,0.73348,0.65958,0.71649,0.39806,1.42476,0.93181,1.51828,0.0002872,0.0002872,0.0002872
74,2635.7,0.837,0.69293,1.16797,0.75229,0.64023,0.72159,0.39422,1.42115,0.91369,1.51525,0.0002773,0.0002773,0.0002773
75,2663.1,0.81976,0.68386,1.15791,0.76516,0.6368,0.71589,0.40376,1.42391,0.89137,1.51121,0.0002674,0.0002674,0.0002674
76,2690.42,0.81256,0.667,1.15539,0.72239,0.63895,0.71316,0.39741,1.42847,0.91535,1.52703,0.0002575,0.0002575,0.0002575
77,2717.89,0.80409,0.65834,1.14789,0.68662,0.67385,0.71184,0.3928,1.42603,0.91933,1.52234,0.0002476,0.0002476,0.0002476
78,2745.3,0.79659,0.655,1.14694,0.71928,0.68096,0.71049,0.40137,1.41201,0.90903,1.51697,0.0002377,0.0002377,0.0002377
79,2772.87,0.79159,0.6503,1.13891,0.68796,0.68301,0.70867,0.39606,1.42498,0.90402,1.52516,0.0002278,0.0002278,0.0002278
80,2800.45,0.79061,0.64986,1.14624,0.71924,0.67466,0.70663,0.39299,1.43405,0.91299,1.52693,0.0002179,0.0002179,0.0002179
81,2827.86,0.78436,0.6435,1.13806,0.74612,0.67267,0.73488,0.41179,1.41167,0.88555,1.50467,0.000208,0.000208,0.000208
82,2855.12,0.79234,0.64237,1.13479,0.74194,0.66682,0.72463,0.41174,1.41574,0.89166,1.51439,0.0001981,0.0001981,0.0001981
83,2882.46,0.77911,0.63911,1.13194,0.69978,0.6925,0.72508,0.40462,1.40916,0.87878,1.51062,0.0001882,0.0001882,0.0001882
84,2909.9,0.77481,0.61949,1.12847,0.76398,0.66159,0.71486,0.40123,1.40759,0.87842,1.50931,0.0001783,0.0001783,0.0001783
85,2937.49,0.77452,0.62142,1.12452,0.6859,0.67781,0.70529,0.3988,1.40586,0.88582,1.5063,0.0001684,0.0001684,0.0001684
