epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,990.29,1.27378,1.15503,1.45577,0.69584,0.61207,0.65899,0.36084,1.45533,1.04395,1.57826,0.000660045,0.000660045,0.000660045
43,1025.58,1.27469,1.14678,1.45649,0.64145,0.65521,0.66242,0.3589,1.48031,1.02313,1.58935,0.000649046,0.000649046,0.000649046
44,1057.79,1.24505,1.12749,1.43589,0.71505,0.62789,0.6787,0.3632,1.4865,1.02385,1.60206,0.000638047,0.000638047,0.000638047
45,1088.05,1.24365,1.12582,1.43749,0.66518,0.62224,0.64939,0.33967,1.48117,1.01896,1.59431,0.000627048,0.000627048,0.000627048
46,1118.95,1.25004,1.12958,1.44196,0.68107,0.63411,0.65542,0.35671,1.47692,1.01475,1.59037,0.000616049,0.000616049,0.000616049
47,1148.06,1.24813,1.11484,1.43554,0.64932,0.65564,0.66209,0.34851,1.48613,1.01387,1.60738,0.000605051,0.000605051,0.000605051
48,1179.24,1.22981,1.11246,1.42191,0.68607,0.6422,0.68459,0.37555,1.47215,1.00217,1.57715,0.000594052,0.000594052,0.000594052
49,1209.63,1.21344,1.06456,1.41255,0.69148,0.67064,0.6697,0.35567,1.44903,0.96835,1.57577,0.000583053,0.000583053,0.000583053
50,1239.62,1.22964,1.06105,1.41469,0.69842,0.6585,0.67312,0.36494,1.4574,1.00413,1.57362,0.000572054,0.000572054,0.000572054
51,1271.37,1.21237,1.05559,1.40151,0.74566,0.58877,0.68497,0.37019,1.47126,0.98562,1.58851,0.000561055,0.000561055,0.000561055
52,1305.04,1.20754,1.04217,1.40502,0.68345,0.6103,0.64958,0.35657,1.47003,0.99648,1.58475,0.000550056,0.000550056,0.000550056
53,1335.74,1.19195,1.03415,1.39882,0.72718,0.63071,0.68126,0.37732,1.45156,0.96947,1.57481,0.000539057,0.000539057,0.000539057
54,1366.12,1.18685,1.02636,1.39526,0.7244,0.64426,0.69597,0.40047,1.45658,0.95486,1.57729,0.000528058,0.000528058,0.000528058
55,1397.13,1.18289,1.01745,1.38636,0.68996,0.62605,0.67286,0.37917,1.45165,0.9347,1.57272,0.000517059,0.000517059,0.000517059
56,1431.15,1.18582,1.00869,1.38757,0.68882,0.70071,0.70946,0.38038,1.45518,0.9518,1.57522,0.00050606,0.00050606,0.00050606
57,1462.19,1.18139,1.00716,1.38073,0.69772,0.68494,0.6966,0.38071,1.43854,0.95185,1.55091,0.000495062,0.000495062,0.000495062
58,1484.13,1.15759,0.98354,1.3663,0.74474,0.70096,0.71366,0.39133,1.43679,0.92161,1.56217,0.000484063,0.000484063,0.000484063
59,1507.16,1.14295,0.98501,1.36229,0.7327,0.65558,0.68976,0.3897,1.44145,0.93539,1.55875,0.000473064,0.000473064,0.000473064
60,1530.43,1.15066,0.97551,1.37189,0.67088,0.63327,0.67211,0.3688,1.43824,0.94569,1.56346,0.000462065,0.000462065,0.000462065
61,1553.54,1.16194,0.96804,1.36706,0.73462,0.64109,0.69916,0.37973,1.43584,0.93111,1.54335,0.000451066,0.000451066,0.000451066
62,1576.24,1.12361,0.95601,1.35126,0.75192,0.60798,0.67681,0.38044,1.43417,0.93241,1.55111,0.000440067,0.000440067,0.000440067
63,1597.41,1.12674,0.93129,1.3469,0.74903,0.68829,0.71297,0.387,1.43219,0.91532,1.55254,0.000429068,0.000429068,0.000429068
64,1616.58,1.10895,0.9241,1.33461,0.77751,0.68097,0.6985,0.38737,1.43002,0.91607,1.56285,0.000418069,0.000418069,0.000418069
